size,steps,evolution,"processor number","thread number","total time","evolution time","average propagation time"
1920,1000,1,1,1,247556594,247540577,26
1920,1000,1,2,1,125833415,125822970,52251
1920,1000,1,4,1,63860569,63848344,55032
